Variable name,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Branching Logic (Show field only if...)
q1,radio,"Can you take a few steps in any way? This includes walking in parallel bars, with or without a walking aid, leg brace/s and/or assistance from another person.","1, yes | 0, no",
score_0c,descriptive,SCORE 0 - END,,[q1] ='0'
q2,radio,"Can you walk 10m or more in any way? This includes walking in parallel bars, with or without walking aid, leg brace/s and/or assistance.","1, yes | 0, no, I can not walk 10 meters. I can walk less.",[q1] ='1'
note_1,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">For all remaining questions, think about your ability to walk safely </span>indoors on a flat, smooth, 10-meter surface.</p></div>","0, PLEASE CLICK HERE TO CONTINUE",[q2] ='1'
q3,radio,"<div class=""rich-text-field-label""><p>Can you walk <span style=""color: #2c00ff;"">without a walking aid</span> in any way? This includes walking with or without assistance and/or leg brace/s.</p></div>","1, yes | 0, no, I need a walking aid",[note_1] ='0'
q4,radio,"<div class=""rich-text-field-label""><p>Can you walk <span style=""color: #2c00ff;"">with 1 cane/crutch</span> in any way? This includes walking with or without assistance and/or leg brace/s.</p></div>","1, yes | 0, no",[q3] ='0'
q5,radio,"<div class=""rich-text-field-label""><p>Can you walk with <span style=""color: #2c00ff;"">2 crutches</span> in any way? This includes walking with or without assistance and/or leg brace/s.</p></div>","1, yes | 0, no",[q4] ='0'
q6,radio,"<div class=""rich-text-field-label""><p>Can you walk with <span style=""color: #2c00ff;"">a walker</span> in any way? This includes walking with or without assistance and/or leg brace/s.</p></div>","1, yes | 0, no",[q5] ='0'
q7,radio,"<div class=""rich-text-field-label""><p>Can you walk in <span style=""color: #2c00ff;"">parallel bars</span> in any way? This includes walking with or without assistance and/or leg brace/s.</p></div>","1, yes | 0, no",[q6] ='0'
score_0a,descriptive,SCORE 0 - END,,[q7] ='0'
q8,radio,Can you take a few steps in parallel bars in any way? This includes walking with or without assistance and/or leg brace/s.,"1, yes | 0, no",[q2] ='0'
score_0b,descriptive,SCORE 0 - END,,[q8] ='0'
score_1a,descriptive,SCORE 1 - END,,[q8] ='1'
q9,radio,"<div class=""rich-text-field-label""><p>Think about walking without a walking aid. Can you walk <span style=""color: #2c00ff;"">without assistance</span> <span style=""font-weight: normal;"">(with or without leg brace/s)</span>?  </p></div>","1, yes | 0, no, I need assistance",[q3] ='1'
q10,radio,"<div class=""rich-text-field-label""><p>Think about walking without a walking aid. Can you walk with <span style=""color: #2c00ff;"">assistance of 1 person</span> <span style=""font-weight: normal;"">(with or without leg brace/s)</span>?</p></div>","1, yes | 0, no, I need assistance of 2 people",[q9] ='0'
q11,radio,"<div class=""rich-text-field-label""><p>Can you walk with <span style=""color: #2c00ff;"">1 cane/crutch <span style=""color: #000000;"">in any way, instead of walking with no aids</span></span>? This includes walking with or without assistance and/or leg brace/s.</p></div>","1, yes | 0, no",[q10] ='0'
q12,radio,"<div class=""rich-text-field-label""><p>Can you walk with <span style=""color: #2c00ff;"">2 crutches</span> in any way? This includes walking with or without assistance and/or leg brace/s.</p></div>","1, yes | 0, no",[q11] ='0'
q13,radio,"<div class=""rich-text-field-label""><p>Can you walk with <span style=""color: #2c00ff;"">a walker </span>in any way? This includes walking with or without assistance and/or leg brace/s.</p></div>","1, yes | 0, no",[q12] ='0' 
q14,radio,"<div class=""rich-text-field-label""><p>Can you walk in <span style=""color: #2c00ff;"">parallel bars</span> in any way? This includes walking with or without assistance and/or leg brace/s.</p></div>","1, yes | 0, no",[q13] ='0' 
